attraction,latitude,longitude
Golden Gate Bridge,37.819912,-122.478661
Alcatraz Prison,37.828125,-122.422844
Fisherman's Wharf,37.8079996,-122.4177434
Golden Gate Park,37.769722,-122.476944
Union Square,37.787937,-122.407677
Pier 39,37.809326,-122.409981
Lombard Street,37.801945,-122.418892
Powell-Hyde Cable Car,37.805272,-122.415231
Silicon Valley ,37.3875,-122.0575
Exploratorium,37.8014,-122.3976
Presidio,37.7989,-122.4662
Yosemite National Park ,37.8651,-119.5383
Haight-Ashbury,37.769,-122.4469
Twin Peaks,37.7544,-122.4477
SFMOMA (San Francisco Museum of Modern Art),37.7857,-122.4011
North Beach,37.8061,-122.4103
Nob Hill,37.793,-122.4162
Russian Hill,37.8014,-122.4197
SOMA (South of Market),37.7786,-122.4057
Dungeons San Francisco,37.8081,-122.4159
Sausalito,37.8591,-122.4853
Chinatown,37.7941,-122.4078
Ghirardelli Square,37.8059,-122.423
San Francisco Bay Bridge/Oakland Bay Bridge,37.7983,-122.3778
Coit Tower,37.8024,-122.4058
Palace of Fine Arts,37.8024,-122.4483
Asian Art Museum,37.7802,-122.416
Muir Woods National Monument,37.8963,-122.5808
Japanese Tea Garden,37.7701,-122.4702
Bridge to Bridge Cruise,37.8067,-122.4104
Ocean Beach,37.7596,-122.5107
Yerba Buena Gardens,37.785,-122.4026
Walt Disney Family Museum,37.8016,-122.4587
California Academy of Sciences,37.7699,-122.4661
The Castro,37.7609,-122.435
Baker Beach,37.7936,-122.4837
San Francisco Botanical Garden,37.767,-122.4663
The Painted Ladies ,37.7764,-122.4346
Lands End,37.7802,-122.512
Mission District,37.7599,-122.4148
Church of 8 Wheels,37.7714,-122.429
Musée Mécanique,37.8086,-122.4156
16th Avenue Tiled Steps,37.7562,-122.473
Atelier Crenn,37.7982,-122.4369
Crissy Field,37.8048,-122.4662
Marin Headlands,37.8261,-122.4998
M.H. de Young Memorial Museum,37.7715,-122.4687
Conservatory of Flowers,37.7726,-122.4605
Transamerica Pyramid,37.7952,-122.4028
Legion of Honor Museum,37.7846,-122.5008
Point Bonita Lighthouse,37.8156,-122.5292
Monterey & Carmel tour,36.6002,-121.8947
Grace Cathedral,37.792,-122.4123
Shakespeare Garden,37.7703,-122.4674
Napa & Sonoma wine tasting,38.2975,-122.2869
Wave Organ,37.8067,-122.4423
Seward Mini Park,37.7588,-122.4375
Angel Island,37.8606,-122.4313
San Francisco City Hall,37.7793,-122.4193
The Embarcadero,37.7955,-122.3937